time,open,high,low,close,Volume,Volume MA
2019-05-12T22:00:00Z,0.6997,0.6997,0.6997,0.6997,3,3.9
2019-05-13T22:00:00Z,0.6992,0.6993,0.6992,0.6993,3,4.05
2019-05-14T22:00:00Z,0.6977,0.6977,0.6977,0.6977,0,3.8
2019-05-15T22:00:00Z,0.6944,0.6944,0.6944,0.6944,3,3.85
2019-05-16T22:00:00Z,0.6942,0.6942,0.6921,0.6921,5,4.1
2019-05-19T22:00:00Z,0.6978,0.6978,0.6958,0.6958,106,9.4
2019-05-20T22:00:00Z,0.6935,0.6938,0.6935,0.6938,39,11.35
2019-05-21T22:00:00Z,0.6942,0.6942,0.6942,0.6942,3,10
2019-05-22T22:00:00Z,0.6949,0.6949,0.6949,0.6949,0,10
2019-05-23T22:00:00Z,0.6975,0.6975,0.6973,0.6973,1,10
2019-05-27T22:00:00Z,0.6978,0.6978,0.6978,0.6978,0,10
2019-05-28T22:00:00Z,0.6968,0.6968,0.6968,0.6968,1,9.95
2019-05-29T22:00:00Z,0.6988,0.6988,0.6965,0.6965,1,9
2019-05-30T22:00:00Z,0.699,0.699,0.699,0.699,1,8.95
2019-06-02T22:00:00Z,0.7025,0.7025,0.7025,0.7025,7,9.2
2019-06-03T22:00:00Z,0.7043,0.7043,0.7043,0.7043,0,9.2
2019-06-04T22:00:00Z,0.701,0.701,0.701,0.701,0,9.15
2019-06-05T22:00:00Z,0.7016,0.7016,0.7016,0.7016,0,8.95
2019-06-06T22:00:00Z,0.7044,0.7044,0.7044,0.7044,0,8.9
2019-06-09T22:00:00Z,0.7006,0.7006,0.6999,0.6999,1,8.7
2019-06-10T22:00:00Z,0.7004,0.7004,0.7002,0.7002,1,8.6
2019-06-11T22:00:00Z,0.6971,0.6971,0.6971,0.6971,2,8.55
2019-06-12T22:00:00Z,0.6977,0.6977,0.696,0.696,1,8.6
2019-06-13T22:00:00Z,0.6909,0.6909,0.6909,0.6909,0,8.45
2019-06-16T22:00:00Z,0.6896,0.6896,0.6896,0.6896,0,8.2
2019-06-17T22:00:00Z,0.692,0.692,0.692,0.692,0,2.9
2019-06-18T22:00:00Z,0.6937,0.6937,0.6937,0.6937,0,0.95
2019-06-19T22:00:00Z,0.6966,0.6966,0.6966,0.6966,0,0.8
2019-06-20T22:00:00Z,0.6961,0.6972,0.6941,0.6972,13,1.45
2019-06-23T22:00:00Z,0.7011,0.7011,0.7011,0.7011,0,1.4
2019-06-24T22:00:00Z,0.7004,0.7004,0.7004,0.7004,0,1.4
2019-06-25T22:00:00Z,0.7031,0.7031,0.7029,0.7029,1,1.4
2019-06-26T22:00:00Z,0.704,0.7048,0.704,0.7048,1,1.4
2019-06-27T22:00:00Z,0.7063,0.7063,0.706,0.7063,1,1.4
2019-06-30T22:00:00Z,0.7003,0.7003,0.7003,0.7003,0,1.05
2019-07-01T22:00:00Z,0.7025,0.7034,0.7025,0.7034,1,1.1
2019-07-02T22:00:00Z,0.7064,0.7083,0.7064,0.7083,1,1.15
2019-07-04T22:00:00Z,0.7075,0.7075,0.702,0.7027,3,1.3
2019-07-07T22:00:00Z,0.7017,0.7017,0.7017,0.7017,0,1.3
2019-07-08T22:00:00Z,0.6969,0.6975,0.6969,0.6975,1,1.3
2019-07-09T22:00:00Z,0.697,0.7006,0.697,0.7003,11,1.8
2019-07-10T22:00:00Z,0.7018,0.7018,0.7018,0.7018,0,1.7
2019-07-11T22:00:00Z,0.7067,0.7067,0.7067,0.7067,0,1.65
2019-07-14T22:00:00Z,0.7075,0.708,0.7075,0.708,1,1.7
2019-07-15T22:00:00Z,0.7056,0.7056,0.7056,0.7056,0,1.7
2019-07-16T22:00:00Z,0.7058,0.7058,0.7058,0.7058,0,1.7
2019-07-17T22:00:00Z,0.7109,0.7109,0.7109,0.7109,0,1.7
2019-07-18T22:00:00Z,0.7084,0.7084,0.7084,0.7084,0,1.7
2019-07-21T22:00:00Z,0.7078,0.7078,0.7078,0.7078,1,1.1
2019-07-22T22:00:00Z,0.7044,0.7044,0.7044,0.7044,0,1.1
2019-07-23T22:00:00Z,0.702,0.702,0.7019,0.7019,1,1.15
2019-07-24T22:00:00Z,0.699,0.699,0.699,0.699,0,1.1
2019-07-25T22:00:00Z,0.6952,0.6952,0.6952,0.6952,0,1.05
2019-07-28T22:00:00Z,0.6947,0.6947,0.6947,0.6947,0,1
2019-07-29T22:00:00Z,0.6921,0.6921,0.6921,0.6921,0,1
2019-07-30T22:00:00Z,0.6885,0.6885,0.6885,0.6885,0,0.95
2019-07-31T22:00:00Z,0.6886,0.6891,0.6846,0.6846,6,1.2
2019-08-01T22:00:00Z,0.6832,0.6838,0.6818,0.6838,12,1.65
2019-08-04T22:00:00Z,0.6799,0.6799,0.6799,0.6799,0,1.65
2019-08-05T22:00:00Z,0.6838,0.6839,0.6794,0.6794,8,2
2019-08-06T22:00:00Z,0.681,0.681,0.6738,0.6804,16,2.25
2019-08-07T22:00:00Z,0.6808,0.6842,0.6804,0.6842,97,7.1
2019-08-08T22:00:00Z,0.6843,0.6843,0.683,0.683,16,7.9
2019-08-11T22:00:00Z,0.6804,0.6804,0.6792,0.6792,32,9.45
2019-08-12T22:00:00Z,0.6794,0.6833,0.6794,0.6833,2,9.55
2019-08-13T22:00:00Z,0.6784,0.6784,0.6784,0.6784,2,9.65
2019-08-14T22:00:00Z,0.681,0.681,0.681,0.681,0,9.65
2019-08-15T22:00:00Z,0.6818,0.6818,0.6818,0.6818,0,9.65
2019-08-18T22:00:00Z,0.682,0.6823,0.6802,0.6802,12,10.2
2019-08-19T22:00:00Z,0.6809,0.6809,0.6809,0.6809,0,10.2
2019-08-20T22:00:00Z,0.6815,0.6815,0.6815,0.6815,0,10.15
